iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS
73,2025-01-14 15:48:44.933691,6.282984787662972,6.571565473202857,57.58221403114098,57.57315580681349,57.66524677930081,57.94568890719243,57.66524686457192,0.0,0.0,0.0,0.0,28.51882150594065,1.0
74,2025-01-14 15:48:49.171806,6.196038127935376,6.491879823522279,57.496477932772315,57.488198266717625,57.57785141351821,57.866452061572296,57.5778514975331,0.0,0.0,0.0,0.0,28.098679821937367,1.0
75,2025-01-14 15:48:53.658442,6.109488945504258,6.411796701616133,57.41099702934482,57.40338351916754,57.490905881193804,57.786765361994284,57.49090596409907,0.0,0.0,0.0,0.0,27.727569299145216,1.0
76,2025-01-14 15:48:57.966621,6.023291517259523,6.3313618250337145,57.32574386927823,57.318702340235845,57.40435769280858,57.70668130723966,57.404357774731864,0.0,0.0,0.0,0.0,27.399144830724254,1.0
77,2025-01-14 15:49:02.444699,5.937405887398966,6.25061515199438,57.24069410428792,57.23414532375135,57.31816114281431,57.62624560086601,57.31816122386716,0.0,0.0,0.0,0.0,27.108029011060353,1.0
78,2025-01-14 15:49:07.056029,6.021947532755323,6.248510574730358,62.90346687096484,59.992977789255036,57.232532824662144,57.54561501653691,57.232532429938196,0.0,0.0,232.54862252830492,1.0,-132.01495725240875,1.0
79,2025-01-14 15:49:11.448113,6.102470547000833,6.249581020216384,62.92156881973434,60.00188927883789,57.31706354430105,57.543510612279476,57.31706316079579,0.0,0.0,231.76097968845556,1.0,-128.26288117707918,1.0
80,2025-01-14 15:49:16.040900,6.178751375226262,6.254072180229663,62.93919610444594,60.01198853960553,57.397575519446505,57.54458157161982,57.397575147784046,0.0,0.0,230.99399019103282,1.0,-124.30207136787885,1.0
81,2025-01-14 15:49:20.449307,6.250328959541058,6.262468934968641,62.95631195026608,60.023365973725525,57.473844705011025,57.54907393716348,57.473844346478465,0.0,0.0,230.24925416399682,1.0,-119.91079096787871,1.0
82,2025-01-14 15:49:24.852850,6.315584768969957,6.276416708431178,62.97285084935641,60.03620547262394,57.54540763850767,57.557473431214234,57.54540729762342,0.0,0.0,229.52962195127915,1.0,-114.00833500601948,1.0
83,2025-01-14 15:49:29.271544,6.370663139401281,6.299807616835857,62.98860757166676,60.051143363680545,57.61064230812487,57.57142842436124,57.61064199565268,0.0,0.0,228.84402341902842,1.0,-104.50595805139073,1.0
84,2025-01-14 15:49:33.455802,6.422804652226075,6.32545960998224,63.00310835674698,60.06968564360459,57.665715147858855,57.594821516166945,57.6657148435854,0.0,0.0,228.2130725923478,1.0,-101.76389840069078,1.0
85,2025-01-14 15:49:37.861440,6.430463439372087,6.3282444591503575,62.85493127019194,59.61528920434897,57.71780638476366,57.62045983753091,57.71780613394536,0.0,0.0,234.66047904239488,1.0,-83.88588480613635,1.0
86,2025-01-14 15:49:42.441383,6.437765579812525,6.331292901689683,62.85692813184515,59.617672693020815,57.72546504566817,57.62324472818843,57.72546479584552,0.0,0.0,234.57359260804787,1.0,-83.55289128132881,1.0
87,2025-01-14 15:49:46.759086,6.444754774797529,6.334563654259579,62.85887294719401,59.62015900692518,57.732767079540814,57.626293208188635,57.73276683059181,0.0,0.0,234.48897078617267,1.0,-83.26070345731296,1.0
88,2025-01-14 15:49:50.982445,6.451467500768149,6.33802240741992,62.86077116715577,59.62273067881614,57.73975618367049,57.62956399418261,57.73975593549328,0.0,0.0,234.40637639921582,1.0,-83.00257350128959,1.0
89,2025-01-14 15:49:55.503690,6.457934565651499,6.341640324258874,62.86262736189357,59.62537321474503,57.74646883151622,57.63302277687945,57.746468584024825,0.0,0.0,234.32561059255025,1.0,-82.77320513229824,1.0
90,2025-01-14 15:49:59.977228,6.46418219882511,6.3453929480684295,62.86444540978924,59.62807445301577,57.75293582870122,57.63664071959825,57.752935581822406,0.0,0.0,234.24650461198607,1.0,-82.56832771678546,1.0
91,2025-01-14 15:50:04.476943,6.4702323005119675,6.34926000975358,62.866228405782735,59.63082395788941,57.75918340182182,57.64039336573562,57.75918315549445,0.0,0.0,234.16892379206206,1.0,-82.38389950861347,1.0
92,2025-01-14 15:50:08.857200,6.476105171263293,6.353222686643555,62.86797958512996,59.63361348507345,57.76523345187158,57.64426044684935,57.76523320603896,0.0,0.0,234.09272736195962,1.0,-82.2184283936167,1.0
93,2025-01-14 15:50:13.466340,6.481817638196416,6.3572655370158495,62.869701296462544,59.63643498468555,57.77110627698709,57.648223140326174,57.77110603160229,0.0,0.0,234.01781312920676,1.0,-82.06865779641248,1.0
94,2025-01-14 15:50:17.722009,6.487384381342469,6.3613751460315875,62.8713956964763,59.639281986279634,57.77681870337627,57.65226600471823,57.77681845839827,0.0,0.0,233.9440872527466,1.0,-81.93260306029515,1.0
95,2025-01-14 15:50:22.231894,6.492818275354514,6.365539827647375,62.87306467336304,59.64214887605547,57.782385410323485,57.656375625441626,57.78238516571636,0.0,0.0,233.87146757453073,1.0,-81.80856346484688,1.0
96,2025-01-14 15:50:26.640599,6.498130631140111,6.369749373755834,62.87470989183458,59.64503077357918,57.78781927185893,57.66054031668962,57.787819027591084,0.0,0.0,233.7998816604622,1.0,-81.69509035553801,1.0
97,2025-01-14 15:50:31.243654,6.5018209019808095,6.373116928376517,62.87067108975006,59.631388787701894,57.793131256665845,57.6647496972663,57.793131014400096,0.0,0.0,233.97561597415074,1.0,-81.02549325883501,1.0
98,2025-01-14 15:50:35.573502,6.505456215441102,6.376484742941491,62.871844659757734,59.63364233524663,57.79682151678246,57.66811725193324,57.79682127467013,0.0,0.0,233.92455218950644,1.0,-80.97418191539418,1.0
99,2025-01-14 15:50:40.055288,6.509039973667539,6.379849985018863,62.873006193940014,59.635889987781624,57.80045682037561,57.671485066040496,57.800456578407214,0.0,0.0,233.87401210160954,1.0,-80.92604312537333,1.0
100,2025-01-14 15:50:44.384973,6.51257520323251,6.383210173099345,62.87415606911546,59.638130514250086,57.80404056942165,57.67485030721936,57.80404032758873,0.0,0.0,233.82397931452212,1.0,-80.88073500630344,1.0
101,2025-01-14 15:50:48.980592,6.516064607300947,6.386563121746792,62.875294704035966,59.640362906246,57.80757579041353,57.678210494014806,57.80757554870855,0.0,0.0,233.77443560772235,1.0,-80.83794464880611,1.0
