iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J41_LEVEL,J2U_LEVEL,J42_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V41_FLOW,V41_STATUS,V_U_FLOW,V_U_STATUS,V42_FLOW,V42_STATUS,plc4AttackerUnit
91,56:21.4,6.510275977,6.517550285,67.23654307,62.00387584,57.85014323,57.78619894,57.82406003,6.529059964,67.2365425,57.78619887,0,0,316.8452387,1,23.46989541,1,189.9767578,1,24.61720082,1,0
92,56:26.5,6.535302994,6.543696011,67.24239778,62.01916127,57.8748819,57.81256476,57.8488413,6.553841235,67.24239721,57.81256468,0,0,316.5366548,1,23.36699748,1,189.7702956,1,24.41150926,1,0
93,56:31.7,6.560215402,6.569627624,67.24822122,62.03433043,57.89949589,57.83871026,57.87349956,6.578499491,67.24822066,57.83871019,0,0,316.2297193,1,23.25999116,1,189.5646504,1,24.21159204,1,0
94,56:36.4,6.585009254,6.595350845,67.25401293,62.04938586,57.92398261,57.86464167,57.89803203,6.603031961,67.25401236,57.8646416,0,0,315.9244564,1,23.14929657,1,189.3598686,1,24.01702035,1,0
95,56:41.3,6.609681036,6.620870962,67.25977292,62.06433018,57.94833981,57.89036468,57.92243629,6.627436222,67.25977236,57.89036461,0,0,315.6208651,1,23.03532513,1,189.1559734,1,23.82739148,1,0
96,56:46.1,6.634227638,6.646192875,67.26550136,62.07916586,57.97256555,57.9158846,57.94671026,6.651710194,67.26550079,57.91588453,0,0,315.318937,1,22.91845347,1,188.9529879,1,23.64233745,1,0
97,56:51.0,6.657106586,6.670095204,67.26404624,62.07204166,57.99175892,57.94120514,57.96612225,6.671122189,67.26404567,57.94120507,0,0,315.3956318,1,21.36140482,1,188.7261691,1,22.31690547,1,0
98,56:55.9,6.679886196,6.693794792,67.26939727,62.08594975,58.01430365,57.96510727,57.98870507,6.693705008,67.26939671,57.96510721,0,0,315.1135957,1,21.26866195,1,188.5371313,1,22.12761848,1,0
99,57:00.9,6.702561751,6.717298033,67.27471871,62.09974999,58.03673437,57.98880668,58.01117567,6.716175608,67.27471815,57.98880661,0,0,314.8331188,1,21.17150359,1,188.3488584,1,21.94429125,1,0
100,57:06.1,6.72512907,6.740610763,67.28001097,62.11344553,58.05904834,58.01230974,58.03353108,6.738531016,67.2800104,58.01230968,0,0,314.5541806,1,21.07044545,1,188.1613851,1,21.76641675,1,0
101,57:10.8,6.747584472,6.763738323,67.28527353,62.12703874,58.08124317,58.0356223,58.05576873,6.760768671,67.28527297,58.03562224,0,0,314.276807,1,20.965954,1,187.9747347,1,21.59352853,1,0
102,57:15.9,6.769924742,6.786685588,67.29050667,62.14053219,58.10331688,58.0587497,58.07788646,6.7828864,67.29050611,58.05874963,0,0,314.0009848,1,20.85846383,1,187.788965,1,21.42519197,1,0
103,57:21.1,6.792147094,6.809457018,67.29571052,62.15392818,58.12526779,58.0816968,58.09988242,6.804882356,67.29570996,58.08169674,0,0,313.726706,1,20.7483603,1,187.6040413,1,21.26102175,1,0
104,57:26.6,6.814249115,6.832056683,67.3008849,62.16722862,58.14709445,58.10446807,58.12175501,6.826754949,67.30088434,58.10446801,0,0,313.4539806,1,20.63601134,1,187.4200217,1,21.1006499,1,0
105,57:31.7,6.836228737,6.8544883,67.30602985,62.1804354,58.16879569,58.12706759,58.14350292,6.848502863,67.30602929,58.12706752,0,0,313.1828061,1,20.52173568,1,187.2369059,1,20.94374902,1,0
106,57:36.7,6.858084213,6.87675527,67.3111456,62.19355032,58.19037055,58.14949906,58.1651251,6.870125035,67.31114504,58.14949899,0,0,312.9131709,1,20.40582303,1,187.0547115,1,20.7900265,1,0
107,57:41.8,6.87981408,6.898860712,67.31623205,62.20657487,58.2118183,58.17176588,58.18662067,6.891620607,67.3162315,58.17176582,0,0,312.6450795,1,20.28854576,1,186.8734675,1,20.63920997,1,0
108,57:46.9,6.901417125,6.92080748,67.3212895,62.2195106,58.23313834,58.19387119,58.20798894,6.912988883,67.32128894,58.19387112,0,0,312.3785174,1,20.17013563,1,186.6931506,1,20.49105897,1,0
109,57:51.9,6.95737492,6.971335904,67.50041566,62.73992292,58.41844827,58.2158564,58.38975851,7.094758355,67.5004151,58.21585626,0,0,302.9373331,1,52.246166,1,186.6245481,1,47.17692398,1,0
110,57:57.1,7.012786294,7.021727666,67.51251589,62.76897192,58.47070378,58.26638458,58.44223437,7.147234213,67.51251533,58.26638444,0,0,302.2995678,1,51.73599044,1,186.1785479,1,47.04932359,1,0
111,58:02.1,6.899824032,6.916717607,57.5314441,57.54291312,57.59489333,58.3165383,57.59768636,6.302686679,57.53144414,58.3165386,0,0,0,0,-105.469577,1,-12.7924829,1,-98.04483716,1,0
112,58:07.0,6.787073486,6.811495842,57.42174861,57.43368918,57.48442312,58.21152754,57.48718694,6.192187251,57.42174864,58.21152783,0,0,0,0,-105.2719052,1,-12.70790755,1,-98.24250318,1,0
113,58:11.9,6.674523053,6.706073957,57.31207825,57.32447277,57.37402428,58.1063051,57.37676061,6.081760928,57.31207829,58.1063054,0,0,0,0,-105.0850635,1,-12.62792733,1,-98.42935064,1,0
114,58:16.7,6.562161817,6.600462878,57.20243331,57.21526432,57.26369394,58.00088258,57.2664044,5.971404711,57.20243335,58.00088288,0,0,0,0,-104.9084175,1,-12.55229597,1,-98.60599088,1,0
115,58:21.7,6.449979479,6.494672909,57.09281345,57.10606372,57.15342894,57.8952709,57.15611504,5.861115356,57.09281349,57.8952712,0,0,0,0,-104.7413847,1,-12.48074693,1,-98.77301495,1,0
116,58:26.9,6.337966332,6.388713761,56.98321839,56.99687101,57.04322641,57.78948037,57.04588957,5.75088988,56.98321843,57.78948066,0,0,0,0,-104.5834176,1,-12.4130571,1,-98.93097624,1,0
117,58:32.4,6.22611321,6.282594585,56.8736475,56.88768591,56.93308342,57.68352068,56.93572496,5.640725274,56.87364754,57.68352098,0,0,0,0,-104.4340034,1,-12.34901208,1,-99.08039337,1,0
118,58:37.6,6.114411481,6.176324022,56.76410065,56.77850867,56.82299743,57.57740099,56.82561859,5.530618907,56.76410069,57.57740129,0,0,0,0,-104.2926524,1,-12.28840327,1,-99.22173569,1,0
119,58:43.1,6.002852985,6.069910229,56.65457699,56.66933887,56.71296565,57.47112995,56.7155676,5.420567913,56.65457702,57.47113025,0,0,0,0,-104.1589184,1,-12.23104524,1,-99.35546679,1,0
120,58:48.6,5.891430021,5.963360902,56.54507597,56.56017644,56.60298561,57.3647157,56.60556944,5.310569751,56.54507601,57.36471599,0,0,0,0,-104.0323784,1,-12.17676126,1,-99.48200966,1,0
