iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,T41MiM
87,2024-12-25 13:00:27.938879,6.192669716992887,5.885524068760654,57.66314096043309,57.222187705422016,57.663141092185086,57.22218772145305,57.686240707838145,0.0,0.0,0.0,0.0,-44.064298496095944,1.0,5.3615602308809684,1.0,0
88,2024-12-25 13:00:35.346341,6.004280585585367,5.833025599063642,57.46780496680185,57.18047167406878,57.46780508152694,57.18047170712654,57.48711162596799,0.0,0.0,0.0,0.0,-38.36967230768096,1.0,11.056131370423827,1.0,0
89,2024-12-25 13:00:43.457461,5.827626284579809,5.768792294919796,57.283242324348365,57.12794946697018,57.283242420574055,57.12794951852765,57.29878516316573,0.0,0.0,0.0,0.0,-32.18257021728732,1.0,17.24333486663454,1.0,0
90,2024-12-25 13:00:51.294108,6.14850763572521,5.71639721430792,57.35240084943146,57.06374009120722,57.35239954245874,57.06374012410192,57.12412269798172,0.0,0.0,475.58733616418647,1.0,437.115482208128,1.0,11.001592424690898,1.0,0
91,2024-12-25 13:00:59.290109,6.433563944830856,5.685566173508408,57.636840585034754,57.01137767634459,57.6368393518703,57.01137767524933,57.44470943835902,0.0,0.0,462.27225018983034,1.0,412.43039453604524,1.0,-0.366309681680832,1.0,0
92,2024-12-25 13:01:07.629880,6.691488906248728,5.669172973478307,57.896236260305784,56.98056013196818,57.89623508533852,56.98056010811782,57.72956253513575,0.0,0.0,450.4207084668091,1.0,392.96641424357404,1.0,-7.976726436709214,1.0,0
93,2024-12-25 13:01:15.926877,6.92731354210463,5.663776021451975,58.134507793512746,56.96417223977456,58.134506666879666,56.96417219858714,57.98733484080063,0.0,0.0,440.05315801905084,1.0,376.8011043371189,1.0,-13.775084981375585,1.0,0
94,2024-12-25 13:01:24.349105,7.144063369099305,5.667211925811038,58.3542802255939,56.95877640970493,58.354279141477484,56.9587763545926,58.22303713872329,0.0,0.0,430.4905311036124,1.0,362.5814533563698,1.0,-18.432254331059994,1.0,0
95,2024-12-25 13:01:32.394183,6.898335589548322,5.672052086191567,58.39520257669096,56.962212616513554,58.39520278179561,56.962212559187435,58.438150469746645,0.0,0.0,0.0,0.0,-68.59700799282109,1.0,-19.172652969245974,1.0,0
96,2024-12-25 13:01:39.295242,6.662164998503427,5.667335054451733,58.15407160585593,56.96705152459089,58.15407179590794,56.96705148233162,58.19248735525116,0.0,0.0,0.0,0.0,-63.56266984710146,1.0,-14.133563236669033,1.0,0
97,2024-12-25 13:01:47.252423,6.434061708297548,5.651898440839522,57.921996162849965,56.96232965410699,57.92199633817712,56.962329628199456,57.95636964308068,0.0,0.0,0.0,0.0,-58.6379571842599,1.0,-8.664744624411469,1.0,0
98,2024-12-25 13:01:55.350664,6.215815965261985,5.626604274486319,57.69815702984346,56.946884908817104,57.698157189630194,56.94688489844876,57.72832883448491,0.0,0.0,0.0,0.0,-53.440486051954394,1.0,-3.4676820126833263,1.0,0
99,2024-12-25 13:02:03.657088,6.007663788290424,5.591216548222719,57.48401263044691,56.921579047110235,57.48401277432126,56.921579052647886,57.510144624295584,0.0,0.0,0.0,0.0,-48.118604468641024,1.0,1.8520613565442545,1.0,0
100,2024-12-25 13:02:11.538199,5.809966057073317,5.54537438158025,57.27982256927379,56.88617579149402,57.279822696666926,56.886175813511365,57.30205355381793,0.0,0.0,0.0,0.0,-42.60648267518263,1.0,7.363676120917262,1.0,0
101,2024-12-25 13:02:19.639152,6.117527661568139,5.505182145335244,57.32177708496066,56.840342440496045,57.32177579511593,56.84034245360692,57.10634947014572,0.0,0.0,477.0208843142801,1.0,431.3870444229906,1.0,4.384917909305841,1.0,1
102,2024-12-25 13:02:28.002765,6.3939990313557935,5.482210067257924,57.59841956601227,56.80017082899066,57.59841834203573,56.80017081496301,57.41366329382123,0.0,0.0,464.07080048879516,1.0,409.35750854771413,1.0,-4.691531435128127,1.0,1
103,2024-12-25 13:02:35.916102,6.645394143008781,5.471776644677232,57.85155595985996,56.77720747424668,57.85155479065112,56.77720744045186,57.68995130653132,0.0,0.0,452.3648151028745,1.0,391.0405149656526,1.0,-11.302637322501141,1.0,1
104,2024-12-25 13:02:44.042060,6.876050080413948,5.471215154811986,58.08474547912943,56.76677668231076,58.08474435582102,56.76677663295306,57.94120606092865,0.0,0.0,442.2183906753507,1.0,375.68916927170903,1.0,-16.507624074506566,1.0,1
