iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,T41MiM
204,2024-12-24 16:20:46.168285,10.62059809139224,10.61252509444682,61.91486557989996,61.90581222144924,61.931930524867276,61.92482391116967,61.93257836198586,0.0,0.0,0.0,0.0,0
205,2024-12-24 16:20:52.982202,10.600181727930181,10.590195306022386,61.88993599136985,61.87722376773846,61.91467827131353,61.90751434376909,61.91558898426275,0.0,0.0,0.0,0.0,0
206,2024-12-24 16:20:59.978366,10.579347981393441,10.568282901138955,61.868994931210324,61.85580467685408,61.89422677953084,61.88518492454081,61.89517227299553,0.0,0.0,0.0,0.0,0
207,2024-12-24 16:21:06.944383,10.558292732198542,10.54659199936267,61.847864122121855,61.834400599012135,61.87337414408307,61.86327271316721,61.87433833943987,0.0,0.0,0.0,0.0,0
208,2024-12-24 16:21:13.910416,10.53711075487224,10.525027826181029,61.82663332675725,61.81300748209863,61.85230801177492,61.84158192135276,61.85328298249139,0.0,0.0,0.0,0.0,0
209,2024-12-24 16:21:20.651228,10.515853818404171,10.50353861259439,61.80534561924343,61.79162171962152,61.831119570973186,61.8200178129549,61.83210094117025,0.0,0.0,0.0,0.0,0
210,2024-12-24 16:21:27.175081,10.494551756383682,10.482094525059598,61.784024358677165,61.770240699646266,61.809858734098256,61.79852863827574,61.81084396608432,0.0,0.0,0.0,0.0,0
211,2024-12-24 16:21:33.595753,10.473222199352039,10.460677932955592,61.762682950410436,61.74886271303717,61.78855429341481,61.777084574426155,61.7895418805127,0.0,0.0,0.0,0.0,0
212,2024-12-24 16:21:40.359123,10.451875922907622,10.439278060730514,61.74132926031099,61.727486554820814,61.76722328704552,61.75566799669637,61.76821230913118,0.0,0.0,0.0,0.0,0
213,2024-12-24 16:21:47.152359,10.430519362720815,10.417888472674631,61.71996812103363,61.70611157462387,61.745876118871486,61.73426813330996,61.746866023857756,0.0,0.0,0.0,0.0,0
214,2024-12-24 16:21:53.557639,10.409156470210002,10.396505217399845,61.69860240133218,61.684737323621576,61.72451900948349,61.71287855069566,61.725509458233304,0.0,0.0,0.0,0.0,0
215,2024-12-24 16:22:00.005626,10.38778967558303,10.37512586472947,61.67723386176522,61.66336352351762,61.70315577849878,61.69149529877385,61.70414656237128,0.0,0.0,0.0,0.0,0
216,2024-12-24 16:22:06.247599,10.366420475243773,10.35374891820269,61.6558635847933,61.64199000205829,61.68178877518302,61.6701159481706,61.68277976567807,0.0,0.0,0.0,0.0,0
217,2024-12-24 16:22:12.521349,10.346903024877085,10.335228123864399,61.63903862471662,61.62721469642623,61.66057424894893,61.64874131481414,61.661412096765616,0.0,0.0,0.0,0.0,0
218,2024-12-24 16:22:18.664121,10.327583451586717,10.316509452869948,61.619800089977275,61.60823930642879,61.641072619010394,61.630220369344244,61.64189480303683,0.0,0.0,0.0,0.0,0
219,2024-12-24 16:22:24.784846,10.308386116600225,10.297668543939812,61.60064807015783,61.589244573032126,61.621762750108374,61.61150160430526,61.6225753258295,0.0,0.0,0.0,0.0,0
220,2024-12-24 16:22:31.037074,10.289262423504223,10.278753993532835,61.58154990540444,61.57023921069908,61.602571236148094,61.59266063846698,61.60337804847694,0.0,0.0,0.0,0.0,0
221,2024-12-24 16:22:37.807851,10.270182357661682,10.259795816306589,61.562484330195325,61.55122791893207,61.583450982578306,61.57374605425719,61.58425438943566,0.0,0.0,0.0,0.0,0
