iteration,timestamp,T1,PU1F,PU2F,J280,J269,PU1,PU2,ScadaCommand_PU1,T1S,ScadaCommand_PU2
256,2025-02-21 01:36:06.703439,2.5802829265594482,120.799031031499,0.0,2.98961087481242,21.2834124895354,1,0,1.0,2.5802829265594482,0.0
257,2025-02-21 01:36:55.421254,2.538231611251831,120.82972829385,0.0,2.98960598496146,21.2655756625635,1,0,1.0,2.538231611251831,0.0
258,2025-02-21 01:37:44.036777,2.496319532394409,120.860378494184,0.0,2.98960110200618,21.2477645663911,1,0,1.0,2.538231611251831,0.0
259,2025-02-21 01:38:30.800031,2.4545466899871826,120.890979304677,0.0,2.989596227762,21.2299805631269,1,0,1.0,2.496319532394409,0.0
260,2025-02-21 01:39:28.972532,2.412912368774414,120.921526071838,0.0,2.98959135562097,21.2122263583141,1,0,1.0,2.4545466899871826,0.0
261,2025-02-21 01:40:23.886081,2.3714163303375244,120.952023656164,0.0,2.98958649707323,21.1944991474577,1,0,1.0,2.3714163303375244,0.0
262,2025-02-21 01:41:12.569743,2.3300585746765137,120.982472967175,0.0,2.98958163922196,21.1767983971855,1,0,1.0,2.3714163303375244,0.0
263,2025-02-21 01:42:00.833632,2.2888383865356445,121.01287171904,0.0,2.9895767908756,21.1591254526861,1,0,1.0,2.3300585746765137,0.0
264,2025-02-21 01:42:51.290817,2.247756004333496,121.043219288235,0.0,2.98957194993568,21.1414806825786,1,0,1.0,2.2888383865356445,0.0
265,2025-02-21 01:43:42.986890,2.208460569381714,120.588713292328,0.0,2.98964435281622,21.4055752432245,1,0,1.0,2.247756004333496,0.0
266,2025-02-21 01:44:31.967773,2.1692965030670166,120.61863966821,0.0,2.98963959097882,21.3881972263974,1,0,1.0,2.208460569381714,0.0
267,2025-02-21 01:45:20.991901,2.1302671432495117,120.647868765928,0.0,2.98963494074596,21.3712225856478,1,0,1.0,2.1692965030670166,0.0
268,2025-02-21 01:46:11.943353,2.091372489929199,120.677039707671,0.0,2.98963029951633,21.3542802547395,1,0,1.0,2.1302671432495117,0.0
269,2025-02-21 01:46:59.932713,2.052611827850342,120.706166993056,0.0,2.98962566228333,21.3373618173313,1,0,1.0,2.091372489929199,0.0
270,2025-02-21 01:47:51.668677,2.0139851570129395,120.735246299131,0.0,2.98962103535341,21.3204697970216,1,0,1.0,2.0139851570129395,0.0
271,2025-02-21 01:48:40.766683,1.975492000579834,120.76427784026,0.0,2.98961641001015,21.3036040681786,1,0,1.0,2.0139851570129395,0.0
272,2025-02-21 01:49:29.254823,1.9371322393417358,120.793258547444,0.0,2.98961179645399,21.2867664309769,1,0,1.0,1.9371322393417358,0.0
273,2025-02-21 01:50:16.260564,1.8989053964614868,120.822197614044,0.0,2.98960718549229,21.269951543431,1,0,1.0,1.9371322393417358,0.0
274,2025-02-21 01:51:04.630723,1.860811471939087,120.851086124897,0.0,2.98960258316814,21.2531645974474,1,0,1.0,1.8989053964614868,0.0
275,2025-02-21 01:51:52.399711,1.8228498697280884,120.879930120918,0.0,2.98959798702538,21.2364020884692,1,0,1.0,1.860811471939087,0.0
276,2025-02-21 01:52:42.949792,1.7850204706192017,120.908721781591,0.0,2.98959339791969,21.2196685684601,1,0,1.0,1.8228498697280884,0.0
277,2025-02-21 01:53:32.284834,1.7476012706756592,120.821632152494,0.0,2.98960727764613,21.2702800756334,1,0,1.0,1.7850204706192017,0.0
278,2025-02-21 01:54:21.681718,1.710218906402588,120.867951526379,0.0,2.98959989814806,21.2433653501588,1,0,1.0,1.710218906402588,0.0
279,2025-02-21 01:55:11.797109,1.6729127168655396,120.907482924158,0.0,2.98959359502813,21.2203899128363,1,0,1.0,1.710218906402588,0.0
