iteration,timestamp,J1,P1F,T1,V1F,P1
162,2026-01-02 14:02:33.718664,67.8869553890297,282.56402371958995,6.600868225097656,177.60743851454208,1
163,2026-01-02 14:02:39.830924,67.90377966325912,281.67726843822203,6.600868225097656,177.00029581192211,1
164,2026-01-02 14:02:46.088983,67.92053185141503,280.79431259007185,6.600868225097656,176.39628220308623,1
165,2026-01-02 14:02:52.226507,67.93721195543287,279.91515607313244,6.600868225097656,175.79537450956195,1
166,2026-01-02 14:02:58.346053,67.9538199747079,279.0397989192748,6.600868225097656,175.19755534749493,1
167,2026-01-02 14:03:04.522516,67.9703559060592,278.16824129615543,6.600868225097656,174.60279574379456,1
168,2026-01-02 14:03:10.597907,67.8987389147882,281.94295064642154,6.600868225097656,174.33666052284025,1
169,2026-01-02 14:03:16.781285,67.91182389119044,281.2532821488078,6.600868225097656,173.87538574212158,1
170,2026-01-02 14:03:22.967733,67.92484604583343,280.5669247911578,6.600868225097656,173.41630132705177,1
171,2026-01-02 14:03:29.112021,67.93780639913089,279.88382479063597,6.600868225097656,172.95933194759527,1
172,2026-01-02 14:03:35.197880,67.95070451492595,279.2040051357128,6.600868225097656,172.50449498760645,1
173,2026-01-02 14:03:41.247867,67.96354092971033,278.52743754957754,6.600868225097656,172.05178465246718,1
174,2026-01-02 14:03:47.318847,67.97631557563457,277.85412560836437,6.600868225097656,171.60120094217746,1
175,2026-01-02 14:03:53.402016,67.98902843134597,277.1840704375068,6.600868225097656,171.1527438567373,1
176,2026-01-02 14:03:59.488804,68.00167956243892,276.51726857972716,6.600868225097656,170.70640180691043,1
177,2026-01-02 14:04:05.725980,68.01426909707054,275.8537132802651,6.600868225097656,170.26218638193313,1
178,2026-01-02 14:04:11.924639,68.02679722450257,275.1933945637167,6.600868225097656,169.82009178718727,1
179,2026-01-02 14:04:18.088635,68.03926381727895,274.5363191479008,6.600868225097656,169.38011802267283,1
180,2026-01-02 14:04:24.195409,68.1169659062806,270.44088318103763,6.600868225097656,168.75592755354774,1
181,2026-01-02 14:04:30.294741,68.1318844670362,269.654572142592,6.600868225097656,168.2208641057059,1
182,2026-01-02 14:04:36.441632,68.14673283117313,268.8719609500647,6.600868225097656,167.6886921723053,1
183,2026-01-02 14:04:42.526662,68.16151146803959,268.09302486556834,6.600868225097656,167.15936539640097,1
184,2026-01-02 14:04:48.804446,68.17622016820106,267.3177749277475,6.600868225097656,166.63288957261102,1
185,2026-01-02 14:04:54.987689,68.19085939833212,266.5461865396319,6.600868225097656,166.10920675475427,1
186,2026-01-02 14:05:01.166052,68.20542897159238,265.77826954900115,6.600868225097656,165.58833432668507,1
187,2026-01-02 14:05:07.496706,68.21992911712918,265.014011878208,6.600868225097656,165.0702317260766,1
188,2026-01-02 14:05:13.668767,68.23435980635074,264.25341503423783,6.600868225097656,164.55489315831073,1
189,2026-01-02 14:05:19.875579,68.24872144286996,263.496457743906,6.600868225097656,164.04227806106064,1
190,2026-01-02 14:05:26.149089,68.26301385174096,262.7431492280659,6.600868225097656,163.53239222894445,1
191,2026-01-02 14:05:32.236111,68.27723712368434,261.99348470512024,6.600868225097656,163.0252182781078,1
192,2026-01-02 14:05:38.455510,68.28345510936443,261.6657539771202,6.600868225097656,162.5439230917891,1
193,2026-01-02 14:05:44.809623,68.29722036923775,260.94022984896907,6.600868225097656,162.05446328854123,1
194,2026-01-02 14:05:51.156840,68.31091814479322,260.2182626097778,6.600868225097656,161.56757050111992,1
195,2026-01-02 14:05:57.466799,68.3245482646609,259.49986129192405,6.600868225097656,161.08322734567082,1
196,2026-01-02 14:06:03.618732,68.33811087861726,258.7850180011555,6.600868225097656,160.6014222329577,1
197,2026-01-02 14:06:09.841574,68.35160629199751,258.07371664419935,6.600868225097656,160.12212618988997,1
