iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J5S_LEVEL,J1S_LEVEL,J4S_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED,V5_FLOW,V5_STATUS,V1_FLOW,V1_STATUS,V4_FLOW,V4_STATUS,plc4AttackerUnit
408,2026-01-01 18:25:00.345841,6.752054117986879,6.723945364457664,67.50162666176004,62.74265671227356,58.31664715162867,58.019010613571574,58.28731761516797,6.9923174395063645,67.5016261003451,58.01901044874898,0.0,0.0,0.0,302.87350508619915,1.0,1.0,58.749816492422724,1.0,187.76456385694473,1.0,55.124723678545706,1.0,0
409,2026-01-01 18:25:03.043194,6.814977590646252,6.782986212429717,67.51535329473712,62.77614606543788,58.37560220285517,58.078050966815816,58.34648957988784,7.051489405712655,67.51535273481663,58.07805080266998,0.0,0.0,0.0,302.1500168618725,1.0,1.0,58.25268461478572,1.0,187.26474907111879,1.0,54.89838010021231,1.0,0
410,2026-01-01 18:25:05.469926,6.877368617197426,6.841784638897285,67.52901609307158,62.80950014929868,58.43412311918683,58.13684888812638,58.40522279081814,7.110222618102659,67.5290155346366,58.13684872467404,0.0,0.0,0.0,301.42989316345165,1.0,1.0,57.76448803828771,1.0,186.76791851362395,1.0,54.66644181808533,1.0,0
411,2026-01-01 18:25:08.121817,6.9392367615240325,6.900334654794675,67.54261548179952,62.842716562227366,58.492215369242665,58.195398389367384,58.463522915786946,7.168522744505561,67.5426149248413,58.19539822662414,0.0,0.0,0.0,300.71311158860186,1.0,1.0,57.28485590736909,1.0,186.27401423827905,1.0,54.42928548234249,1.0,0
412,2026-01-01 18:25:10.602483,7.000591206585415,6.9586306632146515,67.55615155255973,62.87579288113526,58.54988389507025,58.25369387454054,58.521395085216746,7.226394915344909,67.55615099706965,58.253693712520935,0.0,0.0,0.0,299.99966730732496,1.0,1.0,56.81343475032463,1.0,185.78300147737536,1.0,54.18726456468903,1.0,0
413,2026-01-01 18:25:13.316096,7.061440738901624,7.016667455337248,57.6575375588291,57.66465460357839,57.71813373957144,58.31150700025307,57.72076767446438,6.425767971517065,57.65753759614038,58.311507268306656,0.0,0.0,0.0,0.0,0.0,0.0,-99.34891886700825,1.0,-12.47871591317562,1.0,-89.65020286666459,1.0,0
414,2026-01-01 18:25:16.110085,6.95503395718314,6.920648396528965,57.5555275479586,57.56318221121247,57.615061601106866,58.21548701807214,57.617655538250325,6.322655834470633,57.555527584914984,58.21548728695811,0.0,0.0,0.0,0.0,0.0,0.0,-99.07053092604201,1.0,-12.360018955632768,1.0,-89.92859370493989,1.0,0
415,2026-01-01 18:25:18.868870,6.848925343893084,6.824331173029704,57.45354037810033,57.46171533193855,57.51208160546101,58.119168924104166,57.51463817554605,6.219638470983606,57.45354041472264,58.11916919377288,0.0,0.0,0.0,0.0,0.0,0.0,-98.8087416686767,1.0,-12.248290026377617,1.0,-90.1903829623052,1.0,0
416,2026-01-01 18:25:21.686997,6.743097116481929,6.72773355733868,57.35157546951695,57.3602544048694,57.40918941862258,58.02257048776176,57.41171107231708,6.116711367018422,57.35157550582489,58.02257075816668,0.0,0.0,0.0,0.0,0.0,0.0,-98.56251385826909,1.0,-12.143146680614336,1.0,-90.43660497809469,1.0,0
417,2026-01-01 18:25:24.623858,6.63753260685051,6.630872229440535,57.24963396396157,57.25879996416737,57.30638123795976,57.9257083860415,57.3088702431095,6.01387053711821,57.249633999973575,57.925708657139054,0.0,0.0,0.0,0.0,0.0,0.0,-98.33086530704804,1.0,-12.04417170583838,1.0,-90.6682564266248,1.0,0
418,2026-01-01 18:25:27.209422,6.532216196898757,6.533762796320661,57.14771694265193,57.15735268294284,57.20365368849746,57.82859822317942,57.206112148087534,5.911112441444423,57.1477169783853,57.82859849492876,0.0,0.0,0.0,0.0,0.0,0.0,-98.11286597880553,1.0,-11.950979759944858,1.0,-90.88624706294013,1.0,0
419,2026-01-01 18:25:29.683986,6.427133277890297,6.43641988436032,57.045824645499295,57.05591263537171,57.10100301606621,57.73125462293831,57.103432882212985,5.808433174956328,57.045824680970235,57.731254895301184,0.0,0.0,0.0,0.0,0.0,0.0,-97.9076640646781,1.0,-11.86321447391947,1.0,-91.09144318244944,1.0,0
420,2026-01-01 18:25:32.493879,6.322270137698952,6.338857195026196,57.29413516457224,57.299763565435825,57.31973727930985,57.63377590224342,57.32087201786503,6.02587221461474,57.294135188003786,57.63377608786456,0.0,0.0,0.0,0.0,0.0,0.0,-65.80270985978132,1.0,-7.836653132926585,1.0,-62.080771593286954,1.0,0
421,2026-01-01 18:25:35.296565,6.251792725814165,6.27236613206248,57.22526914739181,57.231149669656496,57.25049326462288,57.56728448456636,57.251613723945944,5.956613920258304,57.225269170635926,57.56728467062485,0.0,0.0,0.0,0.0,0.0,0.0,-65.65643631461171,1.0,-7.773964056809746,1.0,-62.2270422411475,1.0,0
422,2026-01-01 18:25:38.208864,6.181471985754063,6.205718405110589,57.1564260646185,57.162543069394275,57.18130470736672,57.50063643074665,57.182412108062486,5.887412303972602,57.15642608769014,57.5006366172074,0.0,0.0,0.0,0.0,0.0,0.0,-65.52190556305959,1.0,-7.716284428056497,1.0,-62.36157589000868,1.0,0
423,2026-01-01 18:25:40.681954,6.111295329336822,6.138926589462131,57.087605316446734,57.093943755727274,57.112167874169195,57.433844313844695,57.11326332243571,5.8182635179757485,57.08760533935964,57.43384450067552,0.0,0.0,0.0,0.0,0.0,0.0,-65.39813541735384,1.0,-7.663194136853235,1.0,-62.48534893302349,1.0,0
424,2026-01-01 18:25:43.475188,6.0412512303921995,6.072002210167378,57.01880598029753,57.025351471046804,57.04307919785707,57.36691965687307,57.04416369985813,5.749163895057621,57.01880600306431,57.36691984404445,0.0,0.0,0.0,0.0,0.0,0.0,-65.28423930092231,1.0,-7.614325224949425,1.0,-62.59924794676408,1.0,0
425,2026-01-01 18:25:46.068055,5.971329122816927,6.004955839478498,56.950027143507334,56.956765989613906,56.974035286171485,57.29987303022277,56.975109756399966,5.680109951285963,56.950027166139535,57.299873217707606,0.0,0.0,0.0,0.0,0.0,0.0,-65.17939148068308,1.0,-7.569312631403591,1.0,-62.70408128045801,1.0,0
