iteration,timestamp,T1,PU1F,PU2F,J280,J269,PU1,PU2
199,2025-02-20 06:05:00.289944,4.462353229522705,91.2820569963199,91.2995140284661,2.97767374954142,37.6252623962945,1,1
200,2025-02-20 06:06:23.185792,4.486339569091797,91.2575877616769,91.2750377975585,2.9776848325647,37.6381336846009,1,1
201,2025-02-20 06:07:47.498981,4.5103044509887695,91.2331406112801,91.2505836586035,2.97769590635714,37.6509915115039,1,1
202,2025-02-20 06:09:15.560791,4.507241725921631,112.868944673651,0.0,2.99083853284019,25.836219289621,1,0
203,2025-02-20 06:10:42.911697,4.504180908203125,112.873392896243,0.0,2.9908378611141,25.8336938207213,1,0
204,2025-02-20 06:12:08.805488,4.501121997833252,112.877855874687,0.0,2.99083718996567,25.8311627902301,1,0
205,2025-02-20 06:13:31.676657,4.501710414886475,112.496257992304,0.0,2.9908944771591,26.0474443469753,1,0
206,2025-02-20 06:14:57.441580,4.502297878265381,112.495407025374,0.0,2.9908946005807,26.0479261402059,1,0
207,2025-02-20 06:16:24.565956,4.502885341644287,112.494557622688,0.0,2.9908947308248,26.0484072727735,1,0
208,2025-02-20 06:17:45.578485,4.503471851348877,112.493712186093,0.0,2.99089485541008,26.0488861524605,1,0
209,2025-02-20 06:19:09.869730,4.50405740737915,112.492864761876,0.0,2.99089498193941,26.0493661583653,1,0
210,2025-02-20 06:20:33.934918,4.4681220054626465,117.222963584394,0.0,2.99017327409731,23.3501555692328,1,0
211,2025-02-20 06:21:59.577008,4.398694038391113,117.254413034093,0.0,2.99016839088465,23.3320767638681,1,0
212,2025-02-20 06:23:28.324236,4.398694038391113,116.810538053568,0.0,2.99023720800461,23.5870790871296,1,0
213,2025-02-20 06:24:53.101402,4.3652262687683105,116.834994799043,0.0,2.99023342374782,23.5730378981633,1,0
214,2025-02-20 06:26:15.601038,4.3318772315979,116.859427576339,0.0,2.99022964039189,23.5590094193308,1,0
215,2025-02-20 06:27:41.773400,4.298647403717041,116.883823078429,0.0,2.99022585972454,23.5450012947913,1,0
216,2025-02-20 06:29:04.042147,4.265536308288574,116.90818233231,0.0,2.99022208704768,23.5310129451529,1,0
217,2025-02-20 06:30:31.836140,4.230212688446045,117.55336473921,0.0,2.99012191692667,23.1601370908314,1,0
218,2025-02-20 06:32:01.698787,4.195010662078857,117.578834418957,0.0,2.99011795062419,23.1454811584258,1,0
219,2025-02-20 06:33:36.690082,4.159930229187012,117.60427252678,0.0,2.9901139947801,23.1308422861303,1,0
220,2025-02-20 06:35:07.193303,4.12497091293335,117.629672264607,0.0,2.99011003667098,23.1162243584336,1,0
221,2025-02-20 06:36:39.231765,4.090132236480713,117.655042084444,0.0,2.99010608858929,23.1016225293927,1,0
222,2025-02-20 06:38:05.757695,4.05541467666626,117.680377400869,0.0,2.99010214148941,23.0870394328665,1,0
