iteration,timestamp,T2,J4,V4F,V4
329,2026-01-02 15:44:58.142970,8.388334264015857,59.68328223264787,-48.77513470148642,1
330,2026-01-02 15:45:04.308693,8.336094083543546,59.631042049985325,-48.776250165474266,1
331,2026-01-02 15:45:10.504855,8.283852714184066,59.578800678634266,-48.777258429026915,1
332,2026-01-02 15:45:16.797475,8.231610263776693,59.526558226424775,-48.778168184071546,1
333,2026-01-02 15:45:22.931753,8.17936683517787,59.47431479619453,-48.77899391715346,1
334,2026-01-02 15:45:29.287207,8.127122521057652,59.42207048062693,-48.77972983365453,1
335,2026-01-02 15:45:35.580849,8.074877421325084,59.369825379574486,-48.780396214738175,1
336,2026-01-02 15:45:41.618674,8.022631605195372,59.31755077186609,-61.890870368301876,1
337,2026-01-02 15:45:47.824801,7.956343934288127,59.251262928863405,-61.962060149198805,1
338,2026-01-02 15:45:53.863486,7.889980017599741,59.184898853668315,-62.02756540972132,1
339,2026-01-02 15:45:59.945892,7.82354594141647,59.11846463144796,-62.08789028164574,1
340,2026-01-02 15:46:06.172515,7.757047254184033,59.05196580968355,-62.14339113398637,1
341,2026-01-02 15:46:12.302589,7.690489122030749,58.985407553584515,-62.19448807655681,1
342,2026-01-02 15:46:18.355239,7.623876262256178,58.91879457961231,-62.241537478371356,1
343,2026-01-02 15:46:24.507692,7.557213012682042,58.85213122479793,-62.284869632662776,1
344,2026-01-02 15:46:30.570667,7.490503354221964,58.78542146936484,-62.324768475718884,1
345,2026-01-02 15:46:36.661299,7.4237509566836435,58.71866898248298,-62.361517943827494,1
346,2026-01-02 15:46:42.936894,7.356959203077954,58.6518771465185,-62.39537589749489,1
347,2026-01-02 15:46:49.066795,7.290131187531442,58.58504905509168,-62.426553840282395,1
348,2026-01-02 15:46:55.229334,7.223269777178304,58.5181823879065,-64.5554067205012,1
349,2026-01-02 15:47:01.290006,7.1541282817590695,58.4490408000239,-64.59232423253525,1
350,2026-01-02 15:47:07.525906,7.0849472450527315,58.37985967786351,-64.62641397092739,1
351,2026-01-02 15:47:13.703543,7.015729691920793,58.31064204582463,-64.65788454192989,1
352,2026-01-02 15:47:16.505163,6.9464784345572435,58.24139071554072,-64.68695614103126,1
353,2026-01-02 15:47:19.280466,6.877196042373752,58.17210825597519,-64.71380550408412,1
354,2026-01-02 15:47:22.351285,6.807884890571051,58.102797041915075,-64.73860936694109,1
355,2026-01-02 15:47:25.161339,6.738547175382621,58.033459269199454,-64.76151838967326,1
356,2026-01-02 15:47:28.206947,6.6691849226885145,57.96409696335167,-64.78268033504264,1
357,2026-01-02 15:47:30.981454,6.599800004478416,57.894711996017556,-64.80223137657504,1
358,2026-01-02 15:47:33.094673,6.530394144618546,57.825306090776344,-64.82029320125093,1
359,2026-01-02 15:47:35.873794,6.460968943369948,57.75588084759491,-64.83697590681459,1
360,2026-01-02 15:47:38.710085,6.391525874518378,57.68631913147307,-102.80904759497389,1
361,2026-01-02 15:47:41.330930,6.281413148597256,57.576460685252094,46.44986744551716,1
362,2026-01-02 15:47:44.477645,6.331162870248973,57.626210375899014,46.433486060095674,1
363,2026-01-02 15:47:47.515523,6.380895045005134,57.675942482752916,46.39758550354145,1
364,2026-01-02 15:47:50.213696,6.430588772759641,57.72563610903902,46.343901263981024,1
365,2026-01-02 15:47:52.931780,6.480225000778687,57.77527220500968,46.27396022328867,1
366,2026-01-02 15:47:55.422102,6.529786315143455,57.82483335949108,46.189144397885684,1
367,2026-01-02 15:47:57.909644,6.579256795424062,57.87430365449512,46.090702527976646,1
368,2026-01-02 15:48:00.566256,6.628621837248901,57.92366848787328,45.97973269369504,1
369,2026-01-02 15:48:02.956990,6.6778680253381895,57.9729144463788,45.85724895321164,1
370,2026-01-02 15:48:05.568403,6.7269830245640625,58.02202919676496,45.724166856189186,1
371,2026-01-02 15:48:08.282849,6.775955494239578,58.071001400009564,45.58132372494583,1
372,2026-01-02 15:48:10.701616,6.824774966310796,58.1197850930404,20.121495610396778,1
373,2026-01-02 15:48:13.302210,6.846325915021985,58.14133576209389,19.818697840605637,1
374,2026-01-02 15:48:15.899478,6.86755255552831,58.16256214492004,19.536181234229844,1
375,2026-01-02 15:48:18.933676,6.88847660443022,58.18348595613365,19.272465266340078,1
376,2026-01-02 15:48:21.483953,6.9091182055052185,58.20412733759329,19.026046233534544,1
377,2026-01-02 15:48:24.430806,6.929495886287115,58.22450481504493,18.795463892047337,1
