iteration,timestamp,T1,P1F,J1,V1F,P1
212,2026-01-02 15:33:04.800679,6.600868225097656,0.0,59.66444250802055,-11.207275292122176,0
213,2026-01-02 15:33:10.975272,6.600868225097656,0.0,59.55933925907445,-11.184001208448535,0
214,2026-01-02 15:33:17.115032,6.600868225097656,0.0,59.454247924343896,-11.161990351524764,0
215,2026-01-02 15:33:23.327791,6.600868225097656,0.0,59.34916796757049,-11.141164494006262,0
216,2026-01-02 15:33:29.546819,6.600868225097656,0.0,59.384891673042084,-9.625190988344912,0
217,2026-01-02 15:33:35.723653,6.600868225097656,0.0,59.29155519615316,-9.623003520005113,0
218,2026-01-02 15:33:42.064273,6.600868225097656,0.0,59.19822032869842,-9.620937738645807,0
219,2026-01-02 15:33:48.218454,6.600868225097656,0.0,59.104886490150605,-9.618999438885112,0
220,2026-01-02 15:33:54.453640,6.600868225097656,0.0,59.011554016192605,-9.617168339559612,0
221,2026-01-02 15:34:00.666928,6.600868225097656,0.0,58.91822243239291,-9.615447337978367,0
222,2026-01-02 15:34:06.859890,6.600868225097656,0.0,58.82489197634857,-9.613827742214198,0
223,2026-01-02 15:34:12.998918,6.600868225097656,0.0,58.73156241539716,-9.612309552267106,0
224,2026-01-02 15:34:19.128950,6.600868225097656,0.0,58.63823374804604,-9.610881178900854,0
225,2026-01-02 15:34:25.272430,6.600868225097656,0.0,58.54490595030776,-9.609528135570145,0
226,2026-01-02 15:34:31.516958,6.600868225097656,0.0,58.451578882119584,-9.608262011511215,0
227,2026-01-02 15:34:37.801463,6.600868225097656,0.0,58.358252576484986,-9.607074114796887,0
228,2026-01-02 15:34:44.092008,6.600868225097656,0.0,58.23967836377735,-9.88824347246009,0
229,2026-01-02 15:34:50.133070,6.600868225097656,0.0,58.144158467365315,-9.883703389164111,0
230,2026-01-02 15:34:56.239435,6.600868225097656,0.0,58.04864117249229,-9.879432755610651,0
231,2026-01-02 15:35:02.198730,6.600868225097656,0.0,57.95312643218234,-9.875405496018175,0
232,2026-01-02 15:35:08.292105,6.600868225097656,0.0,57.85761382339076,-9.871615815768564,0
233,2026-01-02 15:35:14.440650,6.600868225097656,0.0,57.762103496743684,-9.868040536389344,0
234,2026-01-02 15:35:20.450860,6.600868225097656,0.0,57.66659530244162,-9.864673863262396,0
235,2026-01-02 15:35:26.640904,6.600868225097656,0.0,57.571089079525876,-9.861504207151484,0
236,2026-01-02 15:35:32.684362,6.600868225097656,0.0,57.47558463155383,-9.858519978820368,0
237,2026-01-02 15:35:38.888656,6.600868225097656,0.0,57.38008195858369,-9.855703794414694,0
238,2026-01-02 15:35:45.027565,6.600868225097656,0.0,57.28458094067682,-9.853052756625402,0
239,2026-01-02 15:35:51.169696,6.600868225097656,0.0,57.1890814392535,-9.850558173525314,0
240,2026-01-02 15:35:57.262597,6.600868225097656,0.0,57.28480968581075,-7.499490380382667,0
241,2026-01-02 15:36:03.348818,6.600868225097656,0.0,57.20728529271516,-7.533556940302333,0
