iteration,timestamp,P79,T41,T42,P1,J2,J13,J21,V1F
86.0,2024-12-23 14:20:19.113941,0.0,8.248208999633789,8.23929214477539,0.0,59.570220947265625,59.532466888427734,59.571937561035156,-12.291094779968262
87.0,2024-12-23 14:20:26.117071,0.0,8.219183921813965,8.209648132324219,0.0,59.54144287109375,59.50316619873047,59.543190002441406,-12.345708847045898
88.0,2024-12-23 14:20:32.916311,0.0,8.190018653869629,8.180145263671875,0.0,59.51240158081055,59.47385025024414,59.51416778564453,-12.374479293823242
89.0,2024-12-23 14:20:40.131294,0.0,8.160778045654297,8.150716781616211,0.0,59.48323059082031,59.444522857666016,59.48500061035156,-12.3902006149292
90.0,2024-12-23 14:20:47.279129,0.0,8.13149642944336,8.121330261230469,0.0,59.453983306884766,59.415191650390625,59.45576095581055,-12.398932456970215
91.0,2024-12-23 14:20:54.496533,0.0,8.102190971374512,8.09196662902832,0.0,59.42469787597656,59.385860443115234,59.42647933959961,-12.403829574584961
92.0,2024-12-23 14:21:01.194016,0.0,8.07287311553955,8.062615394592285,0.0,59.39539337158203,59.356529235839844,59.39717483520508,-12.40658187866211
93.0,2024-12-23 14:21:08.067463,0.0,8.043548583984375,8.033271789550781,0.0,59.36607360839844,59.32719421386719,59.367855072021484,-12.408137321472168
94.0,2024-12-23 14:21:15.054046,0.0,8.014219284057617,8.003931999206543,0.0,59.33675003051758,59.29785919189453,59.338531494140625,-12.409018516540527
95.0,2024-12-23 14:21:21.986179,0.0,7.984888076782227,7.974594593048096,0.0,59.30741882324219,59.26852798461914,59.309200286865234,-12.409513473510742
96.0,2024-12-23 14:21:29.138805,0.0,7.955555438995361,7.945258140563965,0.0,59.2780876159668,59.239192962646484,59.279869079589844,-12.409797668457031
97.0,2024-12-23 14:21:36.246285,0.0,7.925944805145264,7.915554523468018,0.0,59.24872589111328,59.20912551879883,59.25053787231445,-12.536876678466797
98.0,2024-12-23 14:21:42.877552,0.0,7.896313667297363,7.885870933532715,0.0,59.219112396240234,59.17947006225586,59.22092819213867,-12.541172981262207
99.0,2024-12-23 14:21:49.976075,0.0,7.866671562194824,7.856198310852051,0.0,59.18947982788086,59.14981460571289,59.1912956237793,-12.543603897094727
100.0,2024-12-23 14:21:56.881544,0.0,7.83702278137207,7.826532363891602,0.0,59.15983581542969,59.120155334472656,59.161651611328125,-12.544988632202148
101.0,2024-12-23 14:22:04.266370,0.0,9.062414169311523,7.880599498748779,1.0,60.93965148925781,59.95505905151367,59.14992141723633,1202.3092041015625
102.0,2024-12-23 14:22:18.315124,0.0,10.668000221252441,7.996430397033691,1.0,63.00154113769531,61.16748046875,61.532352447509766,1108.4976806640625
103.0,2024-12-23 14:22:25.823114,0.0,10.668000221252441,8.15713119506836,1.0,77.59980773925781,69.78411102294922,77.59980773925781,171.51803588867188
104.0,2024-12-23 14:22:32.566510,0.0,10.668000221252441,8.425090789794922,1.0,77.606689453125,69.85286712646484,77.606689453125,170.79556274414062
105.0,2024-12-23 14:22:40.034939,0.0,10.668000221252441,8.690752029418945,1.0,77.61821746826172,69.96758270263672,77.61821746826172,169.58486938476562
106.0,2024-12-23 14:22:46.898893,0.0,10.668000221252441,8.954120635986328,1.0,77.62971496582031,70.08140563964844,77.62971496582031,168.3770294189453
107.0,2024-12-23 14:22:53.564302,0.0,10.668000221252441,9.215201377868652,1.0,77.64118194580078,70.19432067871094,77.64118194580078,167.1720428466797
108.0,2024-12-23 14:23:00.724304,0.0,10.668000221252441,9.474000930786133,1.0,77.65262603759766,70.30634307861328,77.65262603759766,165.9698944091797
109.0,2024-12-23 14:23:07.911856,0.0,10.668000221252441,9.738944053649902,1.0,77.69647979736328,70.63897705078125,77.69647979736328,161.76902770996094
110.0,2024-12-23 14:23:15.263630,0.0,10.668000221252441,10.001544952392578,1.0,77.7082290649414,70.7514419555664,77.7082290649414,160.53433227539062
111.0,2024-12-23 14:23:22.162503,0.0,10.668000221252441,10.26180648803711,1.0,77.71995544433594,70.86299896240234,77.71995544433594,159.3023681640625
112.0,2024-12-23 14:23:36.927600,0.0,10.668000221252441,10.668000221252441,1.0,77.74333190917969,71.08336639404297,77.74333190917969,156.8468475341797
113.0,2024-12-23 14:23:44.277075,0.0,10.668000221252441,10.668000221252441,1.0,79.02519226074219,78.88094329833984,79.02519226074219,22.61281967163086
114.0,2024-12-23 14:23:51.574460,0.0,10.668000221252441,10.668000221252441,1.0,79.02519226074219,78.88094329833984,79.02519226074219,22.612831115722656
115.0,2024-12-23 14:23:58.852262,0.0,10.668000221252441,10.668000221252441,1.0,79.02519226074219,78.88094329833984,79.02519226074219,22.61285400390625
116.0,2024-12-23 14:24:06.056449,0.0,10.668000221252441,10.668000221252441,1.0,79.02519226074219,78.88094329833984,79.02519226074219,22.612831115722656
117.0,2024-12-23 14:24:13.352158,0.0,10.668000221252441,10.668000221252441,1.0,79.02519226074219,78.88094329833984,79.02519226074219,22.612842559814453
118.0,2024-12-23 14:24:20.762889,0.0,10.668000221252441,10.668000221252441,1.0,79.02519226074219,78.88094329833984,79.02519226074219,22.61284828186035
119.0,2024-12-23 14:24:28.143079,0.0,10.668000221252441,10.668000221252441,1.0,79.02519226074219,78.88094329833984,79.02519226074219,22.612831115722656
120.0,2024-12-23 14:24:35.614262,0.0,10.668000221252441,10.668000221252441,1.0,79.02519226074219,78.88094329833984,79.02519226074219,22.612842559814453
121.0,2024-12-23 14:24:42.459785,0.0,10.668000221252441,10.668000221252441,1.0,79.06986999511719,78.97456359863281,79.06986999511719,18.077857971191406
122.0,2024-12-23 14:24:49.704384,0.0,10.668000221252441,10.668000221252441,1.0,79.06986999511719,78.97456359863281,79.06986999511719,18.077863693237305
123.0,2024-12-23 14:24:57.179192,0.0,10.668000221252441,10.668000221252441,1.0,79.06986999511719,78.97456359863281,79.06986999511719,18.077863693237305
124.0,2024-12-23 14:25:03.995377,0.0,10.668000221252441,10.668000221252441,1.0,79.06986999511719,78.97456359863281,79.06986999511719,18.07784652709961
125.0,2024-12-23 14:25:11.096221,0.0,10.668000221252441,10.668000221252441,1.0,79.06986999511719,78.97456359863281,79.06986999511719,18.077852249145508
126.0,2024-12-23 14:25:18.274280,0.0,10.668000221252441,10.668000221252441,1.0,79.06986999511719,78.97456359863281,79.06986999511719,18.07784652709961
127.0,2024-12-23 14:25:25.336258,0.0,10.668000221252441,10.668000221252441,1.0,79.06986999511719,78.97456359863281,79.06986999511719,18.07784652709961
128.0,2024-12-23 14:25:32.464852,0.0,10.668000221252441,10.668000221252441,1.0,79.06986999511719,78.97456359863281,79.06986999511719,18.07784652709961
129.0,2024-12-23 14:25:39.302889,0.0,10.668000221252441,10.668000221252441,1.0,79.06986999511719,78.97456359863281,79.06986999511719,18.07784652709961
130.0,2024-12-23 14:25:46.347205,0.0,10.668000221252441,10.668000221252441,1.0,79.06986999511719,78.97456359863281,79.06986999511719,18.07784652709961
131.0,2024-12-23 14:25:53.235297,0.0,10.668000221252441,10.668000221252441,1.0,79.06986999511719,78.97456359863281,79.06986999511719,18.07784652709961
132.0,2024-12-23 14:26:00.399341,0.0,10.668000221252441,10.668000221252441,1.0,79.06986999511719,78.97456359863281,79.06986999511719,18.07784652709961
