iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,CloseP1Start
41,2024-11-12 18:17:10.421428,10.668000000000001,8.436442902482257,77.70612107863596,70.54625566465835,77.70612059536656,59.43885960317586,77.70612059536651,0.0,0.0,287.0548847618151,1.0,161.62887756081545,1.0,1
42,2024-11-12 18:17:22.977487,10.668000000000001,8.727784616548904,77.71872395487608,70.66752270251156,77.71872347556669,59.73269424258468,77.71872347556666,0.0,0.0,284.70858043360454,1.0,160.30445964361206,1.0,1
43,2024-11-12 18:17:37.356990,10.668000000000001,9.01661769802217,77.73130494584994,70.78781657892807,77.73130447049367,60.02401607492554,77.73130447049361,0.0,0.0,282.3663505320538,1.0,158.9823479844199,1.0,1
44,2024-11-12 18:17:50.034689,10.668000000000001,9.302946534008527,77.74386391710284,70.90713886363397,77.74386344569274,60.31282945563999,77.74386344569268,0.0,0.0,280.02822008888165,1.0,157.6625541724752,1.0,1
45,2024-11-12 18:18:03.433452,10.668000000000001,9.586775544073111,77.75640080696688,71.02549118276717,77.75640033949604,60.599138771507214,77.756400339496,0.0,0.0,277.6942005849303,1.0,156.34506661854175,1.0,1
46,2024-11-12 18:18:16.429875,10.668000000000001,9.86810917914488,77.76891537792865,71.14287506676365,77.76891491439005,60.88294844175027,77.76891491439,0.0,0.0,275.36433623858284,1.0,155.0299374741826,1.0,1
47,2024-11-12 18:18:29.917508,10.668000000000001,10.1469519226622,77.78140746552032,71.2592921026364,77.78140700590689,61.164262916958805,77.78140700590684,0.0,0.0,273.0386576691578,1.0,153.71716673939773,1.0,1
48,2024-11-12 18:18:43.502048,10.668000000000001,10.423308290278808,77.79387681988946,71.37474383721796,77.79387636419403,61.44308668022332,77.79387636419399,0.0,0.0,270.7172113922219,1.0,152.406794976514,1.0,1
49,2024-11-12 18:19:08.435648,10.668000000000001,10.668000000000001,79.12432835585756,79.07583881566056,79.12432831833236,79.06305302933875,79.12432831833233,0.0,0.0,23.024213552521346,1.0,12.550256268468729,1.0,1
50,2024-11-12 18:19:20.354115,10.668000000000001,10.668000000000001,79.12432829803426,79.07583875726716,79.1243282605088,79.06305296945504,79.12432826050875,0.0,0.0,23.024224317606432,1.0,12.55034318774051,1.0,1
